ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Age group,Gender,Literacy rate
3523,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,92.9
3524,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,95.6
3525,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,94.3
3526,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,92.2
3527,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,100
3528,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,96.3
3529,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,95.8
3530,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,94.4
3531,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,95.1
3532,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,96
3533,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,97.4
3534,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,96.7
3535,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,96.9
3536,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,93.7
3537,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,person,95.5
3538,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,female,97.4
3539,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,male,96.1
3540,India,31,Lakshadweep,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,person,96.8
3541,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,female,95.1
3542,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,male,99.5
3543,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,person,97.4
3544,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,female,95.5
3545,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,male,99.9
3546,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,person,97.8
3547,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,female,93.3
3548,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,male,98
3549,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,person,95.6
3550,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,female,93.8
3551,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,male,98.6
3552,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,person,96.1
3553,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,female,92.9
3554,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,male,97.5
3555,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,person,95
3556,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,female,93.3
3557,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,male,98.1
3558,India,31,Lakshadweep,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,person,95.6
3559,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,female,100
3560,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,male,98.8
3561,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,person,99.3
3562,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,female,100
3563,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,male,99
3564,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,person,99.4
3565,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,female,90.1
3566,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,male,93.7
3567,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,person,92
3568,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,female,91.8
3569,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,male,98.2
3570,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,person,95
3571,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,female,87.9
3572,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,male,92.1
3573,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,person,90
3574,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,female,89.9
3575,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,male,97.9
3576,India,31,Lakshadweep,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,person,93.8
3577,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,female,93.5
3578,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,male,92.8
3579,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,person,93.1
3580,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,female,98.7
3581,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,male,99.4
3582,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,person,99
3583,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,female,90
3584,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,male,95.8
3585,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,person,92.9
3586,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,female,94.2
3587,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,male,98.4
3588,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,person,96.3
3589,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,female,88.5
3590,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,male,96.8
3591,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,person,92.8
3592,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,female,92.2
3593,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,male,98
3594,India,31,Lakshadweep,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,person,95.3
3595,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,female,97.6
3596,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,male,99.2
3597,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,person,98.4
3598,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,female,97.5
3599,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,male,99.2
3600,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,person,98.3
3601,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,female,92.3
3602,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,male,98.6
3603,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,person,95.4
3604,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,female,93.3
3605,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,male,99.7
3606,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,person,96.5
3607,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,female,90.1
3608,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,male,98.4
3609,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,person,94.3
3610,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,female,91.6
3611,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,male,99.8
3612,India,31,Lakshadweep,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,person,95.8
3613,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,female,96
3614,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,male,93.1
3615,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,person,94.8
3616,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,female,100
3617,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,male,100
3618,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,person,100
3619,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,female,95.9
3620,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,male,96.9
3621,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,person,96.4
3622,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,female,97.3
3623,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,male,99.1
3624,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,98.1
3625,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,95.9
3626,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,98
3627,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,96.9
3628,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,female,96.5
3629,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,male,98.8
3630,India,31,Lakshadweep,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,person,97.5
3631,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,female,98
3632,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,male,99.9
3633,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,persons,99
3634,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,female,98.9
3635,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,male,100
3636,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,persons,99.5
3637,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,female,94
3638,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,male,98.6
3639,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,persons,96.4
3640,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,94.8
3641,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,99.4
3642,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,97.3
3643,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,92.5
3644,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,98
3645,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,95.4
3646,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,93.3
3647,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,99.2
3648,India,31,Lakshadweep,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,persons,96.4
3649,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,90.2
3650,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,95.5
3651,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,92.6
3652,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,91
3653,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,96.3
3654,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,93.5
3655,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,91.7
3656,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,95.8
3657,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,93.6
3658,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,92.5
3659,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,96.7
3660,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,94.5
3661,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,93.5
3662,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,96.3
3663,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,person,94.8
3664,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,female,94.5
3665,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,male,97.2
3666,India,32,Kerala,2017,"Agriculture Year (Jul - Jun), 2017",urban,7 Above,person,95.8
3667,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,female,91.5
3668,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,male,95.1
3669,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural,5 Above,person,93.2
3670,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,female,92.6
3671,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,male,96.1
3672,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural,7 Above,person,94.2
3673,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,female,92.4
3674,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,male,95.5
3675,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,5 Above,person,93.9
3676,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,female,93.6
3677,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,male,96.7
3678,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",rural+urban,7 Above,person,95
3679,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,female,93.5
3680,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,male,96
3681,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",urban,5 Above,person,94.7
3682,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,female,94.8
3683,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,male,97.3
3684,India,32,Kerala,2018,"Agriculture Year (Jul - Jun), 2018",urban,7 Above,person,96
3685,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,female,90.1
3686,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,male,93.1
3687,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural,5 Above,person,91.5
3688,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,female,91
3689,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,male,95
3690,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural,7 Above,person,92.9
3691,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,female,91.3
3692,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,male,94
3693,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,5 Above,person,92.6
3694,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,female,92.4
3695,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,male,95.7
3696,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",rural+urban,7 Above,person,94
3697,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,female,92.5
3698,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,male,95
3699,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",urban,5 Above,person,93.7
3700,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,female,93.9
3701,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,male,96.5
3702,India,32,Kerala,2019,"Agriculture Year (Jul - Jun), 2019",urban,7 Above,person,95.1
3703,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,female,90.5
3704,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,male,93.8
3705,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural,5 Above,person,92
3706,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,female,91.6
3707,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,male,95.2
3708,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural,7 Above,person,93.3
3709,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,female,91.8
3710,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,male,94.5
3711,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,5 Above,person,93.1
3712,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,female,93.1
3713,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,male,95.9
3714,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",rural+urban,7 Above,person,94.4
3715,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,female,93.4
3716,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,male,95.4
3717,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",urban,5 Above,person,94.3
3718,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,female,94.7
3719,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,male,96.5
3720,India,32,Kerala,2020,"Agriculture Year (Jul - Jun), 2020",urban,7 Above,person,95.6
3721,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,female,90.1
3722,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,male,92.9
3723,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural,5 Above,person,91.4
3724,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,female,92
3725,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,male,94.7
3726,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural,7 Above,person,93.3
3727,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,female,91.4
3728,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,male,93.9
3729,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,5 Above,person,92.6
3730,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,female,93.4
3731,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,male,95.8
3732,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",rural+urban,7 Above,person,94.5
3733,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,female,92.8
3734,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,male,94.9
3735,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",urban,5 Above,person,93.8
3736,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,female,94.8
3737,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,male,96.9
3738,India,32,Kerala,2021,"Agriculture Year (Jul - Jun), 2021",urban,7 Above,person,95.8
3739,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,female,90
3740,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,male,93.6
3741,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural,5 Above,person,91.7
3742,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,female,91.4
3743,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,male,95.5
3744,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural,7 Above,person,93.3
3745,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,female,92
3746,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,male,94.7
3747,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,5 Above,person,93.3
3748,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,female,93.7
3749,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,male,96.6
3750,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",rural+urban,7 Above,person,95
3751,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,female,94.3
3752,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,male,95.8
3753,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",urban,5 Above,person,95.1
3754,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,female,96.3
3755,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,male,97.8
3756,India,32,Kerala,2022,"Agriculture Year (Jul - Jun), 2022",urban,7 Above,person,97
3757,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,female,90.7
3758,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,male,94.5
3759,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural,5 Above,persons,92.5
3760,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,female,92.6
3761,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,male,96.1
3762,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural,7 Above,persons,94.2
3763,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,female,92.3
3764,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,male,94.8
3765,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,5 Above,persons,93.4
3766,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,female,94
3767,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,male,96.7
3768,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",rural+urban,7 Above,persons,95.3
3769,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,female,94
3770,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,male,95.1
3771,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",urban,5 Above,persons,94.5
3772,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,female,95.6
3773,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,male,97.4
3774,India,32,Kerala,2023,"Agriculture Year (Jul - Jun), 2023",urban,7 Above,persons,96.4
3775,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,female,69.9
3776,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,male,83.6
3777,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural,5 Above,person,76.6
3778,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,female,70.2
3779,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,male,83.9
3780,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural,7 Above,person,76.9
3781,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,female,76.9
3782,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,male,88.1
3783,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,5 Above,person,82.4
3784,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,female,77.2
3785,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,male,88.5
3786,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",rural+urban,7 Above,person,82.7
3787,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,female,84.9
3788,India,33,Tamil Nadu,2017,"Agriculture Year (Jul - Jun), 2017",urban,5 Above,male,93.3
